date,open,high,low,close,volume
2010-01-04,101.73999786376953,101.93000030517578,101.33000183105469,101.93000030517578,120500.0
2010-01-05,102.20999908447266,102.58000183105469,102.06999969482422,102.55000305175781,98700.0
2010-01-06,102.5999984741211,102.75,102.2300033569336,102.69000244140625,135300.0
2010-01-07,102.37999725341797,102.51000213623047,102.0999984741211,102.16000366210938,98300.0
2010-01-08,102.27999877929688,102.48999786376953,102.18000030517578,102.27999877929688,327900.0
2010-01-11,103.0199966430664,103.0999984741211,102.88999938964844,103.05999755859375,127000.0
2010-01-12,103.12999725341797,103.12999725341797,102.94000244140625,103.08000183105469,138400.0
2010-01-13,103.19000244140625,103.19000244140625,102.80000305175781,102.8499984741211,130200.0
2010-01-14,102.66000366210938,102.69000244140625,102.30999755859375,102.30999755859375,90400.0
2010-01-15,102.44999694824219,102.5999984741211,102.25,102.25,180600.0
2010-01-19,102.54000091552734,102.54000091552734,102.2699966430664,102.41000366210938,157100.0
2010-01-20,102.56999969482422,102.56999969482422,102.29000091552734,102.52999877929688,169500.0
2010-01-21,102.30000305175781,102.55000305175781,102.25,102.3499984741211,115900.0
2010-01-22,102.0999984741211,102.2699966430664,101.88999938964844,102.05999755859375,68800.0
2010-01-25,102.12999725341797,102.16999816894531,101.91999816894531,102.0999984741211,68000.0
2010-01-26,102.11000061035156,102.29000091552734,101.91000366210938,102.06999969482422,118200.0
2010-01-27,102.0999984741211,102.12000274658203,101.75,101.83999633789062,205100.0
2010-01-28,101.95999908447266,101.95999908447266,101.5,101.5,103500.0
2010-01-29,101.61000061035156,101.61000061035156,101.1500015258789,101.2300033569336,165800.0
2010-02-01,101.0,101.12000274658203,100.62999725341797,100.77999877929688,76300.0
2010-02-02,101.1500015258789,101.1500015258789,100.5,100.54000091552734,1151900.0
2010-02-03,100.73999786376953,100.88999938964844,100.4000015258789,100.4000015258789,187300.0
2010-02-04,100.29000091552734,100.33999633789062,99.36000061035156,99.37999725341797,219800.0
2010-02-05,99.12999725341797,100.2300033569336,97.63999938964844,99.02999877929688,875400.0
2010-02-08,99.29000091552734,99.62000274658203,99.25,99.47000122070312,124500.0
2010-02-09,99.66000366210938,99.69000244140625,99.3499984741211,99.3499984741211,119400.0
2010-02-10,99.61000061035156,99.75,99.31999969482422,99.66000366210938,89600.0
2010-02-11,99.93000030517578,100.36000061035156,99.72000122070312,100.36000061035156,130600.0
2010-02-12,100.05999755859375,100.45999908447266,100.01000213623047,100.20999908447266,137000.0
